Name,Address,Phone,Fax,Email,Website,Description,Listing URL
Field Offshore Design Engineering,"24 Erastus Akingbola Street (a.k.a. General Ogomudia Boulevard), Lekki Phase 1, Lagos, Nigeria","01 271 8608, 01 271 8609",01 271 8610,,,"Field Offshore Design Engineering (FODE) is a drilling and mining company offering services in engineering, project management, manpower, procurement, installation and construction located in Lekki Phase 1 Lagos.",https://www.finelib.com/listing/Field-Offshore-Design-Engineering/19562/
Abeny Mining Nigeria Limited,"1 Kosemani Street off Iju water works, Iju-Ishaga Agege, Lagos",0802 312 1377,,,,"Abeny Mining Nigeria Limited (AMNL) is a mining and milling processing company that basically specialize on processing and supply of solid minerals.",https://www.finelib.com/listing/Abeny-Mining-Nigeria-Limited/46820/
Blockmine Mining Company,"165 Adeniyi Jones Avenue, Ogba Ikeja, Lagos Nigeria","0701 141 6657, 0810 508 0024",,,,Blockmine mining company provides geological services, geophysical services and mining services in Lagos.,https://www.finelib.com/listing/Blockmine-Mining-Company/46819/
Gateway Mining Company Limited,"1/3 Alhaja Toyibat Yusuf Medina Estate, Gbagada, Lagos","0702 516 0985, 0806 450 6210, 0803 300 5760",,,,Gateway Mining Company Limited is an international mining company with a location in Lagos based on gold and metals explorer with interest in mineral exploration.,https://www.finelib.com/listing/Gateway-Mining-Company-Limited/46821/
Mcfussion Company Limited,"2B Oyetolu Street Opebi off Ajanaku Street off Salvation Road, Ikeja, Lagos Nigeria","01 4531524, 0805 3054247",,,,Mcfussion Company Limited is a fully renowned company basically offering petroleum, mining and agricultural services.,https://www.finelib.com/listing/Mcfussion-Company-Limited/19591/
Orbitwaves Geosciences,"Km 34 Abeokuta Express Way, Alakuko, Lagos Nigeria","0805 156 5216, 0909 230 6459",,,,Orbitwaves Geosciences is committed to providing a full range of consulting services in geosciences and its derivatives to mineral exploration and mining industry.,https://www.finelib.com/listing/Orbitwaves-Geosciences/35176/
Saltire Mineral Resources Nigeria Ltd,"7C Oranyan Road, G.R.A Apapa, Lagos","0704 482 3445, 0708 555 2638",,,,"Saltire Mineral Resources Nigeria Limited is a mining company in Lagos, Nigeria with services in solid minerals mining and exploration.",https://www.finelib.com/listing/Saltire-Mineral-Resources-Nigeria-Ltd/35181/
Skangix Development Ltd,"Plot 4 Ibukunoluwa Awosika Street Off Chevron Drive, Chevy View Estate Lekki Penninsula II, Lagos Nigeria","0803 357 0506, 0807 559 1286, 01 290 3594",,,,"Skangix Development Limited offers services in geological and geophysical services, mining, regional geological studies, mudlogging, field development studies and sample administration.",https://www.finelib.com/listing/Skangix-Development-Ltd/46823/
